episode,reward,winning_rate
10400,0.04107231040564374,0.49
10500,0.036397058823529414,0.32
10600,0.03347927160015498,0.4
10700,0.03783060921248143,0.53
10800,0.04011264534883721,0.41
10900,0.03939226519337017,0.41
11000,0.03984860248447205,0.54
11100,0.0421115687008611,0.59
11200,0.04232682060390764,0.49
11300,0.03991648511256354,0.53
11400,0.04719285714285714,0.46
11500,0.04774251069900143,0.51
11600,0.04310632383599722,0.59
11700,0.04403541128734784,0.56
11800,0.04261213720316622,0.48
11900,0.04327008222643896,0.47
12000,0.044518542615484706,0.52
12100,0.04464622641509434,0.39
12200,0.04596277738010022,0.6
12300,0.040067232837933474,0.56
12400,0.04611679711017459,0.52
12500,0.039870466321243525,0.51
12600,0.046929716399506785,0.5
12700,0.046434349719975114,0.56
12800,0.045937293729372934,0.47
12900,0.04258898589657489,0.56
13000,0.04408266129032258,0.49
13100,0.04542428198433421,0.57
13200,0.04726299694189603,0.52
13300,0.03903585926928282,0.53
13400,0.041911081619110814,0.49
13500,0.042528125,0.46
13600,0.04321755604673192,0.47
13700,0.04518641010222489,0.43
13800,0.04159425248032843,0.45
13900,0.043488023952095806,0.45
14000,0.0462782401902497,0.48
14100,0.04713046172916021,0.6
14200,0.04402934152166497,0.51
14300,0.04672987358616102,0.55
14400,0.044735422986181335,0.48
14500,0.04766977792082395,0.6
14600,0.04198308270676692,0.5
14700,0.04355881372875708,0.39
14800,0.0450194660734149,0.6
14900,0.04755146262188516,0.47
15000,0.04768687840872633,0.56
15100,0.04728790459965929,0.57
15200,0.04435420743639922,0.65
15300,0.044065594059405945,0.61
15400,0.045032530904359144,0.56
15500,0.048538438164691576,0.59
15600,0.045699937225360955,0.56
15700,0.04834012219959267,0.54
15800,0.05040012702445221,0.5
15900,0.04549970431697221,0.47
16000,0.04361409796893668,0.49
16100,0.04606164383561643,0.48
16200,0.04527747252747253,0.5
16300,0.04447466007416563,0.52
16400,0.039192250372578244,0.4
16500,0.044511731135066575,0.51
16600,0.04519273743016759,0.47
16700,0.043122158229766595,0.56
16800,0.046167569289582676,0.56
16900,0.04808094435075885,0.59
17000,0.04571377072819034,0.55
17100,0.04441758979523331,0.55
17200,0.04694117647058824,0.51
17300,0.04251416430594901,0.43
17400,0.04754170601196098,0.45
17500,0.045689075630252096,0.44
17600,0.04636252670125115,0.4
17700,0.04497342919662395,0.35
17800,0.045471035693387944,0.46
17900,0.046304544086668675,0.38
18000,0.047873641304347826,0.46
18100,0.0413106960950764,0.5
18200,0.04287716159809183,0.46
18300,0.045735202492211836,0.45
18400,0.041578125,0.48
18500,0.045899230230930725,0.62
18600,0.0458753809685066,0.42
18700,0.04316993464052288,0.5
18800,0.04611517100263081,0.49
18900,0.04612484157160964,0.5
19000,0.045758869908015774,0.54
19100,0.04774339136041265,0.51
19200,0.04724171859626108,0.44
19300,0.04908020369191597,0.58
19400,0.0483979057591623,0.56
19500,0.04674213836477987,0.57
19600,0.04605665181413113,0.53
19700,0.04348417627920733,0.45
19800,0.04399297797638047,0.52
19900,0.04152102594691322,0.49
